0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:25 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:27 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:27 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:29 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca=sd HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:03 -0300] "GET /ProjetoTrilhaWeb/admin/pages HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:11 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 9316
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:11 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:11 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:12 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:12 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:12 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:14 -0300] "POST /ProjetoTrilhaWeb/rest/marca/inserir HTTP/1.1" 500 716
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:15 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:16 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:08:18 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca=asd HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:21:57 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:11 -0300] "POST /ProjetoTrilhaWeb/rest/marca/inserir HTTP/1.1" 500 716
