127.0.0.1 - - [19/May/2021:18:59:43 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:44 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:44 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:44 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:44 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21470
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:44 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [19/May/2021:18:59:45 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [19/May/2021:19:00:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:19:00:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/May/2021:19:00:13 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [19/May/2021:19:00:13 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [19/May/2021:19:00:13 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
